;Rovaniemi;Toscana;Roma;Milano;Genova;Torino
Rovaniemi;0;2799.46;2854.32;2536.27;2654.52;2613.67
Toscana;2799.46;0;126.40;360.22;276.80;398.99
Roma;2854.32;126.40;0;477.97;402.07;524.76
Milano;2536.27;360.22;477.97;0;119.17;125.72
Genova;2654.52;276.80;402.07;119.17;0;123.16
Torino;2613.67;398.99;524.76;125.72;123.16;0
